filename,words
line_00001.png,Ćwiczenia praktyczne przewidziane w ramach labor
line_00002.png,a przewidywane w problemach i zadaniach Student
line_00003.png,Wykonaj samodzielnie.
line_00004.png,"Sugerowane narzędzia: MS Excel, Python, Matlab"
line_00005.png,W tych narzędziach realizowany był PROJEKT.
line_00006.png,Kontakt z wykładowcą:
line_00007.png,adres (prywatny) email
line_00008.png,rrebowski@gmail.com
line_00009.png,- strona wykładowcy(*)
line_00010.png,Oficjalny kanał: platforma GLink.
line_00011.png,Dla kursu (wykład & lab) założony zostanie
line_00012.png,"CLASSROOM. WAŻNE, aby student był"
line_00013.png,przypisany do tych CLASSROOMÓW.
line_00014.png,zajęcia będą odbywały się zgodnie z
line_00015.png,obowiązującym harmonogramem.
line_00016.png,ze względu na charakter realizacji zajęć
line_00017.png,zajęcia (wykład + lab) są obowiązkowe.
line_00018.png,PROSZĘ o punktualne logowanie się do Classroomu.
line_00019.png,Kurs taki prowadzony był w zeszłym roku
line_00020.png,akademickim. W zakładce Aktualności można
line_00021.png,znaleźć całą historię związaną z procesem
line_00022.png,realizacji kursu. Postaram się w tym roku
line_00023.png,"zasady te zachować, o czym napiszę później."
line_00024.png,II. Uporządkujemy i wzmocnimy wiedzę z TP (niezbędne
line_00025.png,do wyjaśnienia i zrozumienia kursu PSK).
line_00026.png,"mają trajektorię T (wykres funkcji F), losową"
line_00027.png,podaje nam odpowiedzi na pytanie
line_00028.png,w jakim stanie p znajduje dla wybranej
line_00029.png,chwili t0
line_00030.png,Z matematycznego punktu widzenia uzyskane F
line_00031.png,i można dzięki rachunkowi różniczkowemu
line_00032.png,w sposób klasyczny.
line_00033.png,Przykład 1.
line_00034.png,Rozważmy sygnały najprostsze – jednowymiarowe
line_00035.png,Ponieważ kinematyka opisuje równaniem
line_00036.png,t → x(t) – położenie na linii
line_00037.png,prostej
line_00038.png,Przykład 2.
line_00039.png,Obserwowane zjawisko nazwiemy też eksperymentem.
line_00040.png,Był przykład na jednozłotowej monecie miedzianej
line_00041.png,"moneta, która ma dwie różne strony"
line_00042.png,"(„Orzeł”, „Reszka”), w skrócie ang. („Head”, „Tail”)"
line_00043.png,O R H T
line_00044.png,"Załóżmy (dalej wyjaśnimy dlaczego!), że to nie obserwator"
line_00045.png,będzie nadawał monecie rotację
line_00046.png,podrzucający ją w górę.
line_00047.png,"Proszę zwrócić uwagę, że mamy przyczyny losowości:"
line_00048.png,IA przyczyny (— siła nadania rotacji
line_00049.png,zjawisko polegające w określonym czasie.
line_00050.png,"Zanim pokażemy alternatywny opis tego zjawiska,"
line_00051.png,weźmy jeszcze jeden przykład.
line_00052.png,Rozważmy populację ludzi – potencjalnych (bo
line_00053.png,uprawnionych) wyborców. Zjawisko obserwujemy w
line_00054.png,"chwili P (present), wybory odbędą się"
line_00055.png,w przyszłości F (future).
line_00056.png,P   F
line_00057.png,W chwili F wszystko było już wiadome.
line_00058.png,Ale chcemy to „wiedzieć” (w jakim sensie?)
line_00059.png,"w chwili F - T, T = np. 14 dni"
line_00060.png,W chwili P nigdy nie były wiadome
line_00061.png,W chwili P nigdy nie były wiadome
line_00062.png,"nawet jeśli jest tu, zdeterminowany fenomen."
line_00063.png,Aby doprecyzować
line_00064.png,obserwowana
line_00065.png,"Populacja P jest zbyt liczna, że nie mamy"
line_00066.png,możliwości zbadać jej całej.
line_00067.png,udało mi: wszystko = W
line_00068.png,orzeł {O};
line_00069.png,reszka {R};
line_00070.png,jednoelementowy
line_00071.png,"Mamy kolejną warstwę opisu jakościowego, w"
line_00072.png,postaci drugiego zbioru
line_00073.png,"S = {∅, W, {O}, {R}}."
line_00074.png,Zawierają już jego elementy
line_00075.png,Taki zbiór zbiorów nazywamy
line_00076.png,rodziną zbiorów. Oznaczamy ją często przez S
line_00077.png,"Aby uzupełnić pełny opis zjawiska, potrzebujemy"
line_00078.png,"warstwy ilościowej, czyli procedury pomiaru"
line_00079.png,"„wielkości” elementów rodziny S, czyli"
line_00080.png,"Żeby zrozumieć z jaką monetą mamy do czynienia,"
line_00081.png,co najlepiej zrobić – powtórzmy ten eksperyment
line_00082.png,"wielokrotnie, powiedzmy n > 2."
line_00083.png,strony musimy brać pod uwagę stan
line_00084.png,"ale z drugiej, bez straty możemy powtórzyć eksperyment"
line_00085.png,Jak ocenimy W
line_00086.png,Ustalilibyśmy zatem b = 1.
line_00087.png,Mamy kompletny opis: jakościowo-ilościowy
line_00088.png,"(W, S, m)"
line_00089.png,"Jest to model teori estymacji, przedstawiony w przykładzie."
line_00090.png,Czas na uogólnienie
line_00091.png,Def1 (zjawiska losowe). ZL (Random experiment).
line_100001.png,Kurs: PSK Informatyka 3
line_100002.png,tryb: on-line
line_100003.png,Temat: Model probabilistyczny Kołmogorowa (MPK)
line_100004.png,Pojęcie MPK
line_100005.png,probabilistyczny
line_100006.png,Wtedy ω nazywamy zdarzeniem elementarnym
line_100007.png,albo punktem próbkowym
line_100008.png,(ii) Σ jest zbiorem złożonym z pewnych podzbiorów
line_100009.png,przeliczalnych sum
line_100010.png,2
line_100011.png,"Elementy rodziny Σ nazywamy zdarzeniami, a Σ"
line_100012.png,Przykład 1
line_100013.png,Niech Ω=R oraz weźmy rodzinę
line_100014.png,Istnieje najmniejsze σ-ciało zawierające A
line_100015.png,Przykład 2
line_100016.png,"(iii) P jest miarą określoną na Σ, czyli zdarzeniach"
line_100017.png,zdarzeń
line_100018.png,Zasada σ-addytywności P
line_100019.png,P nazywamy funkcją prawdopodobieństwa
line_100020.png,a liczby P(A) — prawdopodobieństwem zdarzenia A
line_100021.png,nie jest prawdą.
line_100022.png,Wtedy
line_100023.png,ZAD2.
line_100024.png,Korzystając z powyższego wyprowadzić wzór
line_100025.png,ZAD3
line_100026.png,Uzasadnić powyższy wzór
line_100027.png,Model dyskretny.
line_100028.png,P określany jest następująco:
line_100029.png,Wtedy łatwo rozszerzyć tę def na dowolne A
line_100030.png,Był to pierwszy w historii tej teorii
line_100031.png,"model używany przez Pascala, Fermata"
line_100032.png,i innych (początki XVII w)
line_100033.png,Model warunkowy
line_100034.png,Bardzo ważny model
line_100035.png,widzenia zastosowany
line_100036.png,Dla lepszego zrozumienia
line_100037.png,Bierzemy dowolny MPK
line_100038.png,gdzie
line_100039.png,nazywamy zdarzeniem
line_100040.png,''śladowym''
line_100041.png,11
line_100042.png,definiujemy następująco
line_100043.png,nazywamy modelem warunkowym
line_100044.png,Bardzo często piszemy
